Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.50,-.22,-.29,-.04,-.14,-.17,-.25,-.22,-.30,-.42,-.39,-.27,***,***,-.18,-.19,-.31
1881,-.29,-.20,-.02,.02,.05,-.31,.10,-.02,-.24,-.41,-.35,-.21,-.16,-.17,-.29,.02,-.08,-.34
1882,.29,.24,.04,-.30,-.23,-.27,-.25,-.12,-.22,-.50,-.31,-.66,-.19,-.15,.10,-.16,-.22,-.34
1883,-.55,-.64,-.14,-.28,-.24,-.09,-.04,-.20,-.31,-.14,-.43,-.14,-.27,-.31,-.62,-.22,-.11,-.30
1884,-.16,-.10,-.63,-.58,-.36,-.39,-.43,-.49,-.44,-.43,-.56,-.46,-.42,-.39,-.13,-.52,-.44,-.48
1885,-.99,-.44,-.22,-.47,-.56,-.43,-.31,-.38,-.37,-.34,-.36,-.08,-.41,-.44,-.63,-.42,-.37,-.35
1886,-.71,-.81,-.69,-.35,-.31,-.35,-.12,-.41,-.31,-.29,-.38,-.19,-.41,-.40,-.54,-.45,-.29,-.32
1887,-1.06,-.68,-.42,-.36,-.23,-.18,-.22,-.52,-.18,-.46,-.25,-.42,-.41,-.39,-.64,-.34,-.30,-.30
1888,-.46,-.58,-.60,-.19,-.13,-.01,.03,-.18,-.18,-.01,.02,-.23,-.21,-.23,-.49,-.31,-.05,-.05
1889,-.25,.33,.00,.18,-.02,-.05,-.06,-.19,-.28,-.40,-.60,-.54,-.16,-.13,-.05,.05,-.10,-.43
1890,-.63,-.58,-.46,-.23,-.35,-.14,-.21,-.38,-.33,-.08,-.63,-.45,-.37,-.38,-.58,-.35,-.25,-.35
1891,-.45,-.67,-.14,-.34,-.14,-.10,-.10,-.11,-.06,-.26,-.51,-.02,-.24,-.28,-.52,-.20,-.10,-.28
1892,-.47,-.13,-.65,-.43,-.22,-.04,-.36,-.31,-.18,-.26,-.81,-.63,-.37,-.32,-.21,-.43,-.23,-.41
1893,-1.49,-.94,-.30,-.28,-.42,-.17,-.13,-.33,-.28,-.27,-.32,-.61,-.46,-.46,-1.02,-.33,-.21,-.29
1894,-.89,-.40,-.19,-.52,-.24,-.38,-.18,-.25,-.31,-.25,-.46,-.33,-.36,-.39,-.63,-.31,-.27,-.34
1895,-.67,-.78,-.46,-.16,-.28,-.18,-.16,-.25,-.04,-.06,-.10,-.20,-.28,-.29,-.59,-.30,-.20,-.07
1896,-.33,-.16,-.47,-.57,-.14,.10,.02,-.08,-.10,.08,-.18,-.19,-.17,-.17,-.23,-.39,.01,-.07
1897,-.38,-.39,-.37,-.03,.16,-.04,.07,-.04,-.04,-.12,-.24,-.26,-.14,-.13,-.32,-.08,.00,-.13
1898,.09,-.40,-.76,-.25,-.24,-.04,-.09,-.13,-.14,-.34,-.48,-.24,-.25,-.25,-.19,-.42,-.09,-.32
1899,-.10,-.63,-.57,-.22,-.23,-.33,-.15,-.05,-.03,.06,.38,-.44,-.19,-.18,-.33,-.34,-.18,.14
