Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.06,-.02,-.13,-.25,-.17,.07,-.05,-.15,.00,.05,-.05,***,***,-.03,-.12,-.07
1881,-.08,-.06,.09,.10,.08,-.05,-.08,-.02,-.05,-.01,.00,.09,.00,.00,-.03,.09,-.05,-.02
1882,.07,.07,.07,-.02,-.04,-.15,-.05,.01,-.05,.03,-.01,-.07,-.01,.00,.08,.00,-.06,-.01
1883,-.02,-.08,-.09,-.07,-.10,-.02,-.09,-.05,-.11,-.06,-.04,-.06,-.07,-.07,-.06,-.09,-.06,-.07
1884,-.08,-.05,-.10,-.21,-.32,-.30,-.22,-.07,-.12,-.07,-.10,-.15,-.15,-.14,-.07,-.21,-.19,-.10
1885,-.20,-.23,-.30,-.36,-.33,-.43,-.34,-.22,-.20,-.13,-.11,-.10,-.25,-.25,-.19,-.33,-.33,-.15
1886,-.14,-.20,-.17,-.20,-.16,-.32,-.22,-.19,-.15,-.24,-.15,-.29,-.20,-.19,-.15,-.17,-.24,-.18
1887,-.36,-.44,-.28,-.31,-.35,-.28,-.27,-.17,-.30,-.22,-.25,-.23,-.29,-.29,-.36,-.31,-.24,-.26
1888,-.20,-.13,-.22,-.20,-.30,-.32,-.21,-.10,-.05,.05,.06,.14,-.12,-.15,-.19,-.24,-.21,.02
1889,.08,.03,.12,.02,.01,-.13,-.08,-.20,-.18,-.11,-.06,-.04,-.04,-.03,.08,.05,-.14,-.12
1890,-.21,-.32,-.34,-.35,-.44,-.33,-.33,-.39,-.39,-.40,-.25,-.17,-.33,-.32,-.19,-.38,-.35,-.35
1891,-.21,-.26,-.21,-.19,-.18,-.29,-.24,-.22,-.24,-.16,-.11,-.06,-.20,-.21,-.21,-.19,-.25,-.17
1892,-.09,-.06,-.14,-.22,-.24,-.38,-.26,-.22,-.13,-.01,-.03,-.12,-.16,-.15,-.07,-.20,-.29,-.06
1893,-.12,-.18,-.12,-.25,-.25,-.32,-.15,-.17,-.17,-.09,-.04,-.03,-.16,-.17,-.14,-.21,-.22,-.10
1894,-.14,-.16,-.24,-.36,-.36,-.40,-.27,-.21,-.24,-.18,-.04,-.07,-.22,-.22,-.11,-.32,-.29,-.15
1895,-.13,-.06,-.17,-.25,-.25,-.21,-.15,-.06,-.19,-.13,-.21,-.06,-.15,-.16,-.09,-.22,-.14,-.17
1896,-.09,-.07,-.04,-.01,-.16,-.29,-.06,.00,-.03,.08,.12,.12,-.04,-.05,-.07,-.07,-.11,.06
1897,.09,.07,.11,.00,-.17,-.17,-.09,-.12,-.11,-.11,-.10,-.13,-.06,-.04,.09,-.02,-.13,-.11
1898,-.10,-.16,-.24,-.34,-.34,-.30,-.34,-.36,-.26,-.33,-.26,-.21,-.27,-.26,-.13,-.31,-.34,-.28
1899,-.20,-.13,-.14,-.18,-.23,-.27,-.16,-.11,-.06,-.12,-.10,-.07,-.15,-.16,-.18,-.18,-.18,-.09
1900,-.11,.02,-.05,-.09,-.14,-.10,-.14,-.09,-.08,-.03,-.01,-.10,-.08,-.07,-.05,-.09,-.11,-.04
1901,-.11,-.13,-.15,-.15,-.19,-.26,-.30,-.24,-.18,-.27,-.13,-.15,-.19,-.19,-.12,-.17,-.27,-.19
1902,-.19,-.15,-.18,-.18,-.26,-.23,-.23,-.31,-.25,-.28,-.26,-.24,-.23,-.22,-.16,-.21,-.26,-.26
1903,-.25,-.23,-.31,-.36,-.37,-.40,-.29,-.36,-.51,-.49,-.44,-.47,-.37,-.35,-.24,-.35,-.35,-.48
1904,-.52,-.57,-.57,-.51,-.61,-.49,-.44,-.44,-.49,-.40,-.27,-.32,-.47,-.48,-.52,-.56,-.46,-.39
1905,-.28,-.36,-.21,-.22,-.30,-.28,-.31,-.17,-.19,-.22,-.21,-.08,-.24,-.25,-.32,-.24,-.25,-.21
1906,.01,-.05,-.17,-.15,-.28,-.29,-.21,-.24,-.34,-.24,-.36,-.34,-.22,-.20,-.04,-.20,-.24,-.31
1907,-.28,-.30,-.25,-.30,-.35,-.33,-.32,-.30,-.29,-.27,-.37,-.36,-.31,-.31,-.31,-.30,-.32,-.31
1908,-.35,-.39,-.40,-.41,-.47,-.47,-.35,-.36,-.42,-.44,-.41,-.44,-.41,-.40,-.36,-.43,-.39,-.43
1909,-.51,-.47,-.42,-.53,-.60,-.52,-.46,-.33,-.42,-.47,-.53,-.56,-.48,-.47,-.47,-.52,-.44,-.47
1910,-.49,-.45,-.53,-.45,-.39,-.33,-.32,-.34,-.35,-.52,-.53,-.53,-.44,-.44,-.50,-.46,-.33,-.47
1911,-.53,-.56,-.58,-.62,-.58,-.66,-.47,-.45,-.45,-.34,-.22,-.11,-.46,-.50,-.54,-.59,-.53,-.33
1912,-.15,-.12,-.15,-.18,-.30,-.33,-.33,-.31,-.35,-.31,-.26,-.30,-.26,-.24,-.13,-.21,-.32,-.30
1913,-.25,-.25,-.39,-.29,-.33,-.40,-.21,-.21,-.27,-.25,-.24,-.15,-.27,-.28,-.27,-.34,-.27,-.25
1914,-.08,-.09,-.13,-.20,-.24,-.28,-.14,-.05,-.04,-.05,-.08,-.02,-.12,-.13,-.11,-.19,-.16,-.06
1915,-.14,.02,.04,.05,-.11,-.30,-.15,-.28,-.20,-.22,-.23,-.18,-.14,-.13,-.05,-.01,-.24,-.22
1916,-.16,-.13,-.18,-.27,-.34,-.48,-.41,-.21,-.25,-.33,-.48,-.52,-.31,-.29,-.16,-.26,-.37,-.35
1917,-.63,-.60,-.54,-.47,-.39,-.39,-.20,-.06,-.17,-.28,-.36,-.30,-.37,-.38,-.58,-.47,-.22,-.27
1918,-.27,-.24,-.26,-.31,-.38,-.29,-.29,-.27,-.10,-.07,.02,-.01,-.21,-.23,-.27,-.32,-.28,-.05
1919,-.01,-.06,-.03,-.02,-.14,-.32,-.26,-.38,-.33,-.32,-.35,-.29,-.21,-.19,-.02,-.06,-.32,-.33
1920,-.34,-.24,-.26,-.28,-.33,-.46,-.36,-.22,-.09,-.14,-.09,-.21,-.25,-.26,-.29,-.29,-.34,-.11
1921,-.29,-.28,-.37,-.44,-.36,-.39,-.27,-.22,-.20,-.06,-.17,-.22,-.27,-.27,-.26,-.39,-.30,-.14
1922,-.28,-.26,-.20,-.30,-.48,-.46,-.29,-.30,-.30,-.34,-.18,-.24,-.30,-.30,-.26,-.33,-.35,-.27
1923,-.38,-.33,-.30,-.29,-.29,-.35,-.33,-.38,-.44,-.32,-.20,-.17,-.31,-.32,-.31,-.29,-.35,-.32
1924,-.17,-.25,-.19,-.34,-.30,-.33,-.35,-.46,-.42,-.48,-.53,-.51,-.36,-.33,-.20,-.28,-.38,-.47
1925,-.51,-.43,-.33,-.36,-.37,-.39,-.27,-.21,-.34,-.25,-.12,-.09,-.31,-.34,-.48,-.35,-.29,-.24
1926,-.11,-.13,-.16,-.12,-.23,-.30,-.34,-.20,-.25,-.28,-.28,-.29,-.22,-.21,-.11,-.17,-.28,-.27
1927,-.25,-.28,-.31,-.35,-.39,-.41,-.31,-.31,-.28,-.26,-.19,-.27,-.30,-.30,-.27,-.35,-.34,-.24
1928,-.30,-.27,-.27,-.24,-.42,-.44,-.29,-.27,-.28,-.31,-.23,-.29,-.30,-.30,-.28,-.31,-.33,-.27
1929,-.34,-.37,-.47,-.48,-.49,-.48,-.39,-.44,-.31,-.27,-.19,-.42,-.39,-.38,-.33,-.48,-.44,-.26
1930,-.48,-.34,-.34,-.34,-.29,-.32,-.38,-.30,-.29,-.24,-.08,-.17,-.30,-.32,-.41,-.32,-.34,-.20
1931,-.19,-.16,-.13,-.23,-.23,-.29,-.15,-.16,-.30,-.26,-.36,-.21,-.22,-.22,-.17,-.20,-.20,-.31
1932,-.10,-.16,-.16,-.21,-.25,-.42,-.35,-.35,-.31,-.32,-.22,-.31,-.26,-.25,-.15,-.21,-.37,-.28
1933,-.27,-.28,-.27,-.32,-.33,-.37,-.30,-.33,-.32,-.34,-.39,-.36,-.32,-.32,-.29,-.31,-.34,-.35
1934,-.30,-.40,-.33,-.33,-.27,-.27,-.17,-.14,-.17,-.26,-.21,-.23,-.26,-.27,-.36,-.31,-.20,-.21
1935,-.27,-.30,-.33,-.39,-.30,-.39,-.38,-.36,-.36,-.22,-.19,-.17,-.31,-.31,-.27,-.34,-.38,-.26
1936,-.26,-.25,-.30,-.34,-.33,-.48,-.30,-.29,-.25,-.13,-.13,-.18,-.27,-.27,-.23,-.32,-.35,-.17
1937,-.24,-.19,-.18,-.25,-.23,-.24,-.21,-.12,-.11,-.16,-.08,-.14,-.18,-.18,-.20,-.22,-.19,-.12
1938,-.20,-.22,-.17,-.21,-.24,-.29,-.19,-.21,-.17,-.05,-.18,-.14,-.19,-.19,-.19,-.20,-.23,-.13
1939,-.15,-.14,-.13,-.14,-.11,-.14,-.16,-.19,-.27,-.16,-.11,.09,-.13,-.15,-.14,-.12,-.16,-.18
1940,.11,.03,.16,.08,.06,.06,.09,.08,.06,-.04,.05,.29,.09,.07,.08,.10,.08,.03
1941,.20,.16,.10,.22,.13,.07,.20,.13,-.04,.22,.28,.25,.16,.16,.22,.15,.14,.16
1942,.18,.13,.11,.10,.05,-.01,.00,.00,-.17,-.26,-.09,-.04,.00,.02,.19,.09,.00,-.18
1943,.06,-.05,-.09,-.11,-.11,-.05,.17,-.09,-.04,-.01,.03,.07,-.02,-.03,-.01,-.10,.01,-.01
1944,.08,.04,.20,.20,.14,.16,.22,.22,.20,.08,.03,.08,.14,.14,.06,.18,.20,.10
1945,.10,.07,.02,.09,.03,-.06,.02,.25,.21,.13,.07,.08,.08,.08,.08,.05,.07,.14
1946,-.03,-.03,-.09,-.21,-.17,-.38,-.22,-.31,-.13,-.18,-.18,-.16,-.18,-.16,.00,-.16,-.30,-.17
1947,-.08,-.12,-.17,-.11,-.10,-.03,-.06,-.10,-.25,-.27,-.15,-.23,-.14,-.13,-.12,-.13,-.06,-.22
